PrimarySatellite,SecondarySatellite,TCA_EpDay,TCA_UTCG,Range,RangeX,RangeY,RangeZ,Velocity,VelocityX,VelocityY,VelocityZ,Latitude,Longitude,Altitude,PrimaryAge,SecondaryAge,PrimaryCluster,SecondaryCluster,DateGenerated
6707--COSMOS 574,7593--COSMOS 700,0.00207163194444,2018-02-08 00:02:58.989000,3.68255188302,-1.40336309152,1.5188715265,-3.04709528739,13.1872088922,0.00823745438532,11.8035410696,5.88037658059,74.143382314,168.022346058,988.0350539,2018-02-07 15:04:59,2018-02-07 19:03:29,975,975,2018-02-08 00:00:00,
10992--SL-8 R/B,12681--COSMOS 1295,0.00801890046296,2018-02-08 00:11:32.833000,3.46077732028,-3.02448171896,0.661347354232,-1.54664464868,13.4975118927,-0.020589401927,12.3964682017,5.33947370942,-71.9305540703,-64.2262388256,1001.61060497,2018-02-07 14:50:33,2018-02-07 12:46:14,975,975,2018-02-08 00:00:00,
16953--SL-8 R/B,18095--COSMOS 1850,0.00972324074074,2018-02-08 00:14:00.088000,4.48755056357,-2.90616262482,-3.29669355419,0.907821826403,3.98880812806,-0.00459503755699,1.06271956405,3.84463214057,-73.4896459418,-13.9916324397,793.436001135,2018-02-07 21:17:20,2018-02-07 13:05:25,775,775,2018-02-08 00:00:00,
24955--SL-8 R/B,11803--COSMOS 1181,0.0416436805556,2018-02-08 00:59:58.014000,2.57780807825,-0.705913580614,0.8487985957,-2.32944659714,13.8483332617,-0.0334541268546,13.0091300172,4.74739414243,69.079502232,-39.6629501484,979.588954995,2018-02-07 14:13:48,2018-02-07 17:37:04,975,975,2018-02-08 00:00:00,
19531--NOAA 11,24297--COSMOS 2333,0.0537797222222,2018-02-08 01:17:26.568000,2.72484148244,-1.40653880771,-0.234927434142,2.32189982288,14.8013967403,-0.00926726499008,14.7268459079,1.48366747849,22.4975342289,-68.5576373265,839.731290679,2018-02-07 15:00:11,2018-02-07 22:51:13,850N,850,2018-02-08 00:00:00,
37214--FENGYUN 3B,23404--COSMOS 2297,0.0576034027778,2018-02-08 01:22:56.934000,3.78723942767,-3.75945065677,-0.0995779029273,0.446987117362,14.4754575163,-0.00132749459127,14.1282424285,3.15144957487,-62.6301786908,-138.256983045,867.61738875,2018-02-07 18:54:01,2018-02-07 19:06:39,850N,850,2018-02-08 00:00:00,
10961--COSMOS 1023,15031--COSMOS 1570,0.0998795949074,2018-02-08 02:23:49.597000,4.82413663282,4.82029196801,-0.0566030743918,0.184053489958,14.1636484196,-0.0110216214141,13.4488212314,4.44274943733,-29.050987203,99.7192677242,791.918913851,2018-02-07 16:30:32,2018-02-07 14:24:09,775,775,2018-02-08 00:00:00,
10461--SL-8 R/B,20150--SL-8 R/B,0.104449328704,2018-02-08 02:30:24.422000,3.59817421769,1.38225383882,2.54815330215,2.13146587463,9.46598025297,-0.0435276336784,6.08719286884,-7.24906686908,80.803491757,153.030774003,997.02850721,2018-02-07 23:05:40,2018-02-07 15:45:59,975,975,2018-02-08 00:00:00,
8597--SL-8 R/B,23179--NADEZHDA 4,0.107574363426,2018-02-08 02:34:54.425000,0.955222988491,0.431472265226,-0.445135411705,-0.726730422735,12.5581457356,0.0153218503402,10.713278418,-6.55228624961,-76.4778444793,-75.464153743,993.64645571,2018-02-06 12:46:35,2018-02-07 17:13:50,975,975,2018-02-08 00:00:00,
8646--SL-8 R/B,14546--COSMOS 1513,0.128775983796,2018-02-08 03:05:26.245000,4.68647739166,4.42136319374,0.199091025643,1.54109721144,14.576570729,0.0495626855667,14.4375799563,-2.00754645367,27.1935782018,150.242867659,992.114882823,2018-02-07 18:21:13,2018-02-07 20:05:24,975,975,2018-02-08 00:00:00,
